测试误差,训练误差,类型,b_m,d,n
0.358092445567,0.335253211642,分数匹配加权,2,8,100
0.578699971371,0.369957474509,平均加权,2,8,100
0.603759624915,0.445224578635,分数匹配加权,2,8,100
0.727114525875,0.624341597302,平均加权,2,8,100
1.0551311568,0.746375313408,分数匹配加权,2,8,100
0.518868607045,0.436507811696,平均加权,2,8,100
0.54126943802,0.514408864415,分数匹配加权,2,8,100
0.353449827212,0.348955724572,平均加权,2,8,100
0.351313626684,0.413243992935,分数匹配加权,2,8,100
0.395042096613,0.318657588726,平均加权,2,8,100
0.472218393392,0.411516583263,分数匹配加权,2,8,100
0.357338365659,0.27443826003,平均加权,2,8,100
0.432025958945,0.323502882517,分数匹配加权,2,8,100
0.230536190524,0.158585483853,平均加权,2,8,100
0.254418661122,0.175304107602,分数匹配加权,2,8,100
0.6326136312,0.6450490559,平均加权,2,8,100
0.674684107947,0.682269185788,分数匹配加权,2,8,100
0.709359522239,0.591317875125,平均加权,2,8,100
0.80217685492,0.655431202286,分数匹配加权,2,8,100
0.705499011883,0.666454715767,平均加权,2,8,100
0.835317334243,0.798813768745,分数匹配加权,2,8,100
1.08249014687,0.881759267199,平均加权,2,8,100
1.06158620883,0.976374935667,分数匹配加权,2,8,100
0.336426347644,0.298068427972,平均加权,2,8,100
0.391800872543,0.341758468204,分数匹配加权,2,8,100
0.343639817094,0.29583620351,平均加权,2,8,100
0.40395585485,0.344958260801,分数匹配加权,2,8,100
0.400596610381,0.341640600619,平均加权,2,8,100
0.490730420725,0.438416324384,分数匹配加权,2,8,100
0.731788406349,0.651817708763,平均加权,2,8,100
0.910967474401,0.732444923552,分数匹配加权,2,8,100
0.492537615558,0.409267058699,平均加权,2,8,100
0.535366383889,0.479756681666,分数匹配加权,2,8,100
0.568364709994,0.540652067203,平均加权,2,8,100
0.672927972052,0.638781970397,分数匹配加权,2,8,100
0.452715048265,0.331959522744,平均加权,2,8,100
0.519494696531,0.425313008776,分数匹配加权,2,8,100
0.345577689951,0.309000434012,平均加权,2,8,100
0.413362955257,0.360138873902,分数匹配加权,2,8,100
0.331399615784,0.289172534282,平均加权,2,8,100
0.367871731313,0.322308764578,分数匹配加权,2,8,100
0.297578846878,0.251744875873,平均加权,2,8,100
0.341762292885,0.293613046904,分数匹配加权,2,8,100
0.201230496807,0.169336260904,平均加权,2,8,100
0.20903181794,0.189429523627,分数匹配加权,2,8,100
0.534228919436,0.547098754439,平均加权,2,8,100
0.582608487838,0.676044559139,分数匹配加权,2,8,100
0.699150610187,0.586597096098,平均加权,2,8,200
0.812778523851,0.694715655402,分数匹配加权,2,8,200
0.584579407392,0.614527848938,平均加权,2,8,200
0.626743986871,0.645795507228,分数匹配加权,2,8,200
0.579619502231,0.613450309151,平均加权,2,8,200
0.585303384566,0.638976030042,分数匹配加权,2,8,200
0.23161155161,0.269503948252,平均加权,2,8,200
0.240061589293,0.281964080204,分数匹配加权,2,8,200
0.692396165019,0.708235643798,平均加权,2,8,200
0.712264195822,0.73980256206,分数匹配加权,2,8,200
0.37877302066,0.336194300161,平均加权,2,8,200
0.415753247417,0.363345720032,分数匹配加权,2,8,200
0.657660793406,0.536749252645,平均加权,2,8,200
0.6849817615,0.587335927194,分数匹配加权,2,8,200
0.389427185591,0.376588982293,平均加权,2,8,200
0.435398342658,0.43088453042,分数匹配加权,2,8,200
0.321458211526,0.244688696956,平均加权,2,8,200
0.332716728204,0.271189005191,分数匹配加权,2,8,200
0.745743160088,0.644295311866,平均加权,2,8,200
