测试误差,训练误差,类型,b_m,d,n
0.673110367893,0.654362416107,分数匹配加权,2,2,300
0.658684503902,0.657718120805,平均加权,2,2,300
0.657881828317,0.659395973154,分数匹配加权,2,2,300
0.568093645485,0.644295302013,平均加权,2,2,300
0.56497212932,0.598993288591,分数匹配加权,2,2,300
0.611460423634,0.630872483221,平均加权,2,2,300
0.614537346711,0.614093959732,分数匹配加权,2,2,300
0.750189520624,0.708053691275,平均加权,2,2,300
0.751259754738,0.704697986577,分数匹配加权,2,2,300
0.710345596433,0.734899328859,平均加权,2,2,300
0.695496098105,0.71644295302,分数匹配加权,2,2,300
0.608205128205,0.630872483221,平均加权,2,2,300
0.608361204013,0.630872483221,分数匹配加权,2,2,300
0.677146042363,0.726510067114,平均加权,2,2,300
0.676387959866,0.723154362416,分数匹配加权,2,2,300
0.59525083612,0.640939597315,平均加权,2,2,300
0.595696767001,0.61744966443,分数匹配加权,2,2,300
0.620044593088,0.637583892617,平均加权,2,2,300
0.624526198439,0.647651006711,分数匹配加权,2,2,300
0.589275362319,0.64932885906,平均加权,2,2,300
0.602162764771,0.645973154362,分数匹配加权,2,2,300
0.707870680045,0.741610738255,平均加权,2,2,300
0.701516164994,0.741610738255,分数匹配加权,2,2,300
0.692285395764,0.66610738255,平均加权,2,2,300
0.692931995541,0.669463087248,分数匹配加权,2,2,300
0.648762541806,0.647651006711,平均加权,2,2,300
0.650702341137,0.639261744966,分数匹配加权,2,2,300
0.699397993311,0.686241610738,平均加权,2,2,300
0.695986622074,0.677852348993,分数匹配加权,2,2,300
0.687112597547,0.657718120805,平均加权,2,2,300
0.674938684504,0.661073825503,分数匹配加权,2,2,300
0.544191750279,0.572147651007,平均加权,2,2,300
0.575496098105,0.55033557047,分数匹配加权,2,2,300
0.590680044593,0.634228187919,平均加权,2,2,300
0.595785953177,0.629194630872,分数匹配加权,2,2,300
0.659219620959,0.704697986577,平均加权,2,2,300
0.662028985507,0.691275167785,分数匹配加权,2,2,300
0.584392419175,0.595637583893,平均加权,2,2,300
0.598037904125,0.598993288591,分数匹配加权,2,2,300
0.698104793757,0.731543624161,平均加权,2,2,300
0.679598662207,0.719798657718,分数匹配加权,2,2,300
0.62220735786,0.577181208054,平均加权,2,2,300
0.615429208473,0.592281879195,分数匹配加权,2,2,300
0.684726867336,0.726510067114,平均加权,2,2,300
0.671081382386,0.726510067114,分数匹配加权,2,2,300
0.692619843924,0.647651006711,平均加权,2,2,300
0.696811594203,0.656040268456,分数匹配加权,2,2,300
0.66773690078,0.71644295302,平均加权,2,2,300
0.66508361204,0.721476510067,分数匹配加权,2,2,300
